Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2018-06-06,Zambia,Madagascar,1,0,COSAFA Cup,South Africa,+15,-15,1479,1363
2018-06-07,Bolivia,South Korea,0,0,Friendly,Austria,+2,-2,1675,1728
2018-06-07,England,Costa Rica,2,0,Friendly,England,+5,-5,1948,1749
2018-06-07,French Guiana,Guadeloupe,2,0,Friendly tournament,Martinique,+16,-16,1375,1242
2018-06-07,Iceland,Ghana,2,2,Friendly,Iceland,-6,+6,1764,1645
2018-06-07,India,New Zealand,1,2,Friendly tournament,India,-7,+7,1188,1502
2018-06-07,Portugal,Algeria,3,0,Friendly,Portugal,+1,-1,1969,1508
2018-06-07,Uruguay,Uzbekistan,3,0,Friendly,Uruguay,+3,-3,1893,1600
2018-06-08,Croatia,Senegal,2,1,Friendly,Croatia,+5,-5,1853,1734
2018-06-08,Germany,Saudi Arabia,2,1,Friendly,Germany,+1,-1,2077,1586
2018-06-08,Iran,Lithuania,1,0,Friendly,Russia,+2,-2,1790,1393
2018-06-08,Kenya,Taiwan,4,0,Friendly tournament,India,+6,-6,1358,977
2018-06-08,Lesotho,Madagascar,1,0,COSAFA Cup,South Africa,+24,-24,1314,1339
2018-06-08,Poland,Chile,2,2,Friendly,Poland,-2,+2,1829,1869
2018-06-08,South Africa,Botswana,3,0,COSAFA Cup,South Africa,+10,-10,1568,1340
2018-06-08,Switzerland,Japan,2,0,Friendly,Switzerland,+4,-4,1889,1666
2018-06-09,Denmark,Mexico,2,0,Friendly,Denmark,+11,-11,1855,1850
2018-06-09,Estonia,Morocco,1,3,Friendly,Estonia,-10,+10,1487,1733
2018-06-09,Finland,Belarus,2,0,Friendly,Finland,+8,-8,1605,1522
2018-06-09,France,United States,1,1,Friendly,France,-7,+7,1987,1763
2018-06-09,Hungary,Australia,1,2,Friendly,Hungary,-9,+9,1576,1741
2018-06-09,Latvia,Azerbaijan,1,3,Friendly,Latvia,-19,+19,1348,1403
2018-06-09,Serbia,Bolivia,5,1,Friendly,Austria,+14,-14,1778,1661
2018-06-09,Spain,Tunisia,1,0,Friendly,Russia,+2,-2,2044,1656
2018-06-09,Sweden,Peru,0,0,Friendly,Sweden,+1,-1,1795,1916
2018-06-09,Tuvalu,Chagos Islands,6,1,Friendly,England,+22,-22,779,776
2018-06-09,Zimbabwe,Zambia,4,2,COSAFA Cup,South Africa,+34,-34,1469,1445
2018-06-10,Austria,Brazil,0,3,Friendly,Austria,-6,+6,1741,2142
2018-06-10,India,Kenya,2,0,Friendly tournament,India,+27,-27,1215,1331
2018-06-11,Belgium,Costa Rica,4,1,Friendly,Belgium,+6,-6,1937,1743
2018-06-11,Senegal,South Korea,2,0,Friendly,Austria,+15,-15,1749,1713
2018-06-12,Japan,Paraguay,4,2,Friendly,Austria,+18,-18,1684,1728
2018-06-12,Poland,Lithuania,4,0,Friendly,Poland,+2,-2,1831,1391
2018-06-14,Russia,Saudi Arabia,5,0,World Cup,Russia,+30,-30,1708,1556
2018-06-15,Iran,Morocco,1,0,World Cup,Russia,+25,-25,1815,1708
2018-06-15,Portugal,Spain,3,3,World Cup,Russia,+6,-6,1975,2038
2018-06-15,Uruguay,Egypt,1,0,World Cup,Russia,+12,-12,1905,1631
2018-06-16,Argentina,Iceland,1,1,World Cup,Russia,-17,+17,1968,1781
2018-06-16,Croatia,Nigeria,2,0,World Cup,Russia,+25,-25,1878,1659
2018-06-16,Denmark,Peru,1,0,World Cup,Russia,+35,-35,1890,1881
