Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2021-05-30,Uzbekistan,Thailand,4,1,Friendly,the United Arab Emirates,+8,-8,1560,1340
2021-05-30,Switzerland,United States,2,1,Friendly,Switzerland,+4,-4,1890,1762
2021-05-30,Northern Ireland,Malta,3,0,Friendly,Austria,+4,-4,1570,1223
2021-05-30,China,Guam,7,0,World Cup and Asian Cup qualifier,China,+1,-1,1461,733
2021-05-31,Turkey,Guinea,0,0,Friendly,Turkey,-9,+9,1800,1447
2021-05-31,Jordan,Vietnam,1,1,Friendly,the United Arab Emirates,-2,+2,1471,1410
2021-06-01,Poland,Russia,1,1,Friendly,Poland,-5,+5,1803,1742
2021-06-01,North Macedonia,Slovenia,1,1,Friendly,North Macedonia,-2,+2,1598,1615
2021-06-01,Kosovo,San Marino,4,1,Friendly,Kosovo,0,0,1484,828
2021-06-01,Croatia,Armenia,1,1,Friendly,Croatia,-8,+8,1827,1587
2021-06-01,Bulgaria,Slovakia,1,1,Friendly,Austria,+4,-4,1503,1651
2021-06-01,Lithuania,Estonia,0,1,Baltic Cup,Lithuania,-19,+19,1340,1380
2021-06-02,Romania,Georgia,1,2,Friendly,Romania,-16,+16,1630,1529
2021-06-02,Norway,Luxembourg,1,0,Friendly,Spain,+2,-2,1750,1391
2021-06-02,Netherlands,Scotland,2,2,Friendly,Portugal,-7,+7,1948,1673
2021-06-02,Mozambique,Lesotho,5,0,Friendly tournament,Mozambique,+24,-24,1282,1267
2021-06-02,France,Wales,3,0,Friendly,France,+4,-4,2086,1841
2021-06-02,England,Austria,1,0,Friendly,England,+3,-3,1981,1752
2021-06-02,Denmark,Germany,1,1,Friendly,Austria,-1,+1,1971,1935
2021-06-02,Bosnia and Herzegovina,Montenegro,0,0,Friendly,Bosnia and Herzegovina,-5,+5,1630,1535
2021-06-02,Belarus,Azerbaijan,1,2,Friendly,Belarus,-16,+16,1492,1388
2021-06-02,Puerto Rico,Bahamas,7,0,World Cup qualifier,Puerto Rico,+20,-20,1014,857
2021-06-02,Montserrat,US Virgin Islands,4,0,World Cup qualifier,the Dominican Republic,+17,-17,911,661
2021-06-02,Dominica,Anguilla,3,0,World Cup qualifier,the Dominican Republic,+5,-5,1018,557
2021-06-02,Cuba,British Virgin Islands,5,0,World Cup qualifier,Guatemala,+2,-2,1255,603
2021-06-02,Aruba,Cayman Islands,3,1,World Cup qualifier,the United States,+32,-32,913,876
2021-06-03,United Arab Emirates,Malaysia,4,0,World Cup and Asian Cup qualifier,the United Arab Emirates,+8,-8,1459,1183
2021-06-03,Qatar,India,1,0,World Cup and Asian Cup qualifier,Qatar,+2,-2,1648,1190
2021-06-03,Palestine,Singapore,4,0,World Cup and Asian Cup qualifier,Saudi Arabia,+15,-15,1411,1145
2021-06-03,Nepal,Taiwan,2,0,World Cup and Asian Cup qualifier,Kuwait,+33,-33,939,909
2021-06-03,Kuwait,Australia,0,3,World Cup and Asian Cup qualifier,Kuwait,-16,+16,1390,1728
2021-06-03,Iran,Hong Kong,3,1,World Cup and Asian Cup qualifier,Bahrain,+2,-2,1768,1168
2021-06-03,Indonesia,Thailand,2,2,World Cup and Asian Cup qualifier,the United Arab Emirates,+12,-12,1117,1328
2021-06-03,Bahrain,Cambodia,8,0,World Cup and Asian Cup qualifier,Bahrain,+1,-1,1566,836
2021-06-03,Afghanistan,Bangladesh,1,1,World Cup and Asian Cup qualifier,Qatar,-14,+14,1131,854
2021-06-03,Ukraine,Northern Ireland,1,0,Friendly,Ukraine,+2,-2,1812,1568
2021-06-03,Turkey,Moldova,2,0,Friendly,Germany,+1,-1,1801,1208
2021-06-03,Switzerland,Liechtenstein,7,0,Friendly,Switzerland,0,0,1890,1100
2021-06-03,Belgium,Greece,1,1,Friendly,Belgium,-9,+9,2098,1648
2021-06-03,Andorra,Ireland,1,4,Friendly,Andorra,-2,+2,1028,1616
2021-06-03,Algeria,Mauritania,4,1,Friendly,Algeria,+2,-2,1744,1376
2021-06-03,United States,Honduras,1,0,CONCACAF Nations League,the United States,+7,-7,1769,1597
2021-06-03,Costa Rica,Mexico,0,0,CONCACAF Nations League,the United States,+14,-14,1637,1913
2021-06-03,Uruguay,Paraguay,0,0,World Cup qualifier,Uruguay,-14,+14,1940,1783
2021-06-03,Peru,Colombia,0,3,World Cup qualifier,Peru,-35,+35,1758,1931
2021-06-03,Bolivia,Venezuela,3,1,World Cup qualifier,Bolivia,+40,-40,1618,1762
2021-06-03,Argentina,Chile,1,1,World Cup qualifier,Argentina,-13,+13,1978,1829
2021-06-04,Syria,Maldives,4,0,World Cup and Asian Cup qualifier,the United Arab Emirates,+3,-3,1477,944
2021-06-04,Spain,Portugal,0,0,Friendly,Spain,-3,+3,2034,2037
2021-06-04,Slovenia,Gibraltar,6,0,Friendly,Slovenia,+1,-1,1616,1088
2021-06-04,Rwanda,Central African Republic,2,0,Friendly,Rwanda,+11,-11,1312,1299
2021-06-04,North Macedonia,Kazakhstan,4,0,Friendly,North Macedonia,+5,-5,1603,1347
2021-06-04,Kosovo,Malta,2,1,Friendly,Austria,+4,-4,1488,1219
2021-06-04,Italy,Czechia,4,0,Friendly,Italy,+5,-5,2013,1764
2021-06-04,Hungary,Cyprus,1,0,Friendly,Hungary,+1,-1,1747,1367
2021-06-04,Finland,Estonia,0,1,Friendly,Finland,-18,+18,1684,1398
2021-06-04,Faroe Islands,Iceland,0,1,Friendly,the Faroe Islands,-4,+4,1257,1604
2021-06-04,Cameroon,Nigeria,1,0,Friendly,Austria,+14,-14,1564,1675
2021-06-04,Latvia,Lithuania,3,1,Baltic Cup,Latvia,+21,-21,1289,1319
2021-06-04,Suriname,Bermuda,6,0,World Cup qualifier,Suriname,+26,-26,1350,1259
2021-06-04,Saint Kitts and Nevis,Guyana,3,0,World Cup qualifier,Saint Kitts and Nevis,+24,-24,1249,1183
2021-06-04,Guatemala,Saint Vincent and the Grenadines,10,0,World Cup qualifier,Guatemala,+8,-8,1503,1163
